,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2015-12,-0.06,0.0,0.0,8413.0,2365.0,-5938.0,8.0,620.0,-5318.0,-5524.0,-5926.0,1579.0,11200.0,219401.0,77500.0,98081.0,93116.0,114871.0,-8.07
2016-03,-0.01,0.0,0.0,4342.0,1996.0,-706.0,0.0,64.0,-642.0,-680.0,-745.0,-3529.0,-5101.0,211078.0,69665.0,90400.0,87435.0,114191.0,-0.59
2016-06,0.12,0.0,0.0,18995.0,5282.0,13530.0,13780.0,104.0,13635.0,12698.0,-1186.0,-3366.0,-2621.0,233790.0,79324.0,99334.0,98969.0,127569.0,10.48
2016-09,0.13,0.0,0.0,35050.0,9490.0,14975.0,13780.0,104.0,15079.0,13377.0,-507.0,-9777.0,-412.0,251983.0,98043.0,116474.0,116109.0,128248.0,11.0
2016-12,0.1,0.0,0.0,48186.0,14460.0,12901.0,12847.0,-225.0,12676.0,10866.0,-1493.0,-18586.0,-9010.0,252724.0,93979.0,117190.0,116214.0,128252.0,8.94
2017-03,-0.01,0.0,0.0,7145.0,2393.0,-1472.0,0.0,502.0,-971.0,-1014.0,-1516.0,-18247.0,-1983.0,261131.0,103330.0,126569.0,125593.0,127238.0,-0.79
2017-06,-0.02,0.0,0.0,20360.0,6023.0,-1493.0,-131.0,494.0,-999.0,-1776.0,-2270.0,-36972.0,210.0,277170.0,119338.0,143142.0,130043.0,126476.0,-1.39
2017-09,-0.02,0.0,0.0,31423.0,9199.0,-965.0,-131.0,617.0,-348.0,-1621.0,-2238.0,-28403.0,-1710.0,279287.0,121158.0,144861.0,131755.0,126631.0,-1.27
2017-12,0.01,0.0,0.0,53092.0,17799.0,5577.0,7230.0,219.0,5796.0,1531.0,-6233.0,-24330.0,1238.0,291210.0,118309.0,150773.0,137466.0,132251.0,1.18
2018-03,0.02,0.0,0.0,15215.0,5799.0,1619.0,0.0,-24.0,1595.0,1615.0,1639.0,290.0,246.0,287981.0,119880.0,145949.0,132641.0,133866.0,1.21
2018-06,0.01,0.0,0.0,27379.0,10245.0,1084.0,-529.0,30.0,1114.0,815.0,785.0,-5228.0,-2917.0,287118.0,117099.0,145792.0,132936.0,133066.0,0.61
2018-09,0.01,0.0,0.0,38300.0,13152.0,1074.0,-529.0,189.0,1263.0,653.0,464.0,-3354.0,-2690.0,290645.0,117058.0,149350.0,136004.0,132904.0,0.49
